Imagen|Tipos de Daño|Piezas del Vehículo|Sugerencia
118.jpg|Arañazo-scratch|Parachoques delantero|Reparar
119.jpg|Arañazo-scratch|Parachoques trasero|Reparar
120.jpg|Arañazo-scratch|Parachoques trasero|Reparar
120.jpg|Abolladura-dent|Guardabarros trasero derecho|Reparar
121.jpg|Rotura-crack|Faros izquierdo|Reemplazar
122.jpg|Rotura-crack|Faros derecho|Reemplazar
122.jpg|Deformación-deformation|Capó |Reparar
122.jpg|Abolladura-dent|Parachoques delantero|Reparar
122.jpg|Abolladura-dent|Guardabarros delantero derecho |Reparar
123.jpg|Abolladura-dent|Guardabarros delantero derecho |Reparar
124.jpg|Rotura-crack|Ventana delantera izquierda|Reemplazar
125.jpg|Rotura-crack|Ventana delantera derecha|Reemplazar
126.jpg|Deformación-deformation|Capó |Reemplazar
127.jpg|Rotura-crack|Parabrisas delantero|Reemplazar
128.jpg|Abolladura-dent|Guardabarros delantero izquierdo |Reparar
128.jpg|Rotura-crack|Faros izquierdo|Reemplazar
128.jpg|Abolladura-dent|Parachoques delantero|Reparar
128.jpg|Abolladura-dent|Capó |Reparar
129.jpg|Rotura-crack|Parachoques delantero|Reparar
130.jpg|Abolladura-dent|Puerta delantera izquierda|Reparar
130.jpg|Abolladura-dent|Marco de las puertas|Reparar
131.jpg|Arañazo-scratch|Puerta delantera derecha|Reparar
132.jpg|Abolladura-dent|Parachoques trasero|Reparar
133.jpg|Arañazo-scratch|Parachoques trasero|Reparar
134.jpg|Arañazo-scratch|Parabrisas trasero|Reparar
135.jpg|Rotura-crack|Luz trasera izquierdo|Reemplazar
135.jpg|Abolladura-dent|Parachoques trasero|Reparar
135.jpg|Deformación-deformation|Guardabarros trasero izquierdo|Reparar
136.jpg|Abolladura-dent|Parachoques delantero|Reparar
137.jpg|Rotura-crack|Parachoques delantero|Reparar
138.jpg|Abolladura-dent|Guardabarros trasero izquierdo|Reparar
139.jpg|Abolladura-dent|Guardabarros delantero derecho |Reparar
140.jpg|Rotura-crack|Parabrisas delantero|Reemplazar
141.jpg|Rotura-crack|Parabrisas delantero|Reemplazar
142.jpg|Rotura-crack|Faros izquierdo|Reemplazar
142.jpg|Fractura-shatter|Parachoques delantero|Reemplazar
142.jpg|Abolladura-dent|Guardabarros delantero izquierdo |Reparar
142.jpg|Abolladura-dent|Capó |Reparar
143.jpg|Rotura-crack|Ventanilla trasera izquierda      |Reemplazar
144.jpg|Rotura-crack|Faros derecho|Reemplazar
145.jpg|Arañazo-scratch|Puerta trasera izquierda|Reparar
145.jpg|Arañazo-scratch|Guardabarros trasero izquierdo|Reparar
146.jpg|Arañazo-scratch|Guardabarros trasero izquierdo|Reparar
147.jpg|Rotura-crack|Parabrisas delantero|Reemplazar
148.jpg|Rotura-crack|Rueda |Reparar
149.jpg|Arañazo-scratch|Parachoques trasero|Reparar
150.jpg|Arañazo-scratch|Parachoques delantero|Reparar
151.jpg|Abolladura-dent|Guardabarros delantero izquierdo |Reparar
152.jpg|Arañazo-scratch|Puerta trasera izquierda|Reparar
152.jpg|Arañazo-scratch|Guardabarros trasero izquierdo|Reparar
153.jpg|Desprendimiento-detachment|Parachoques delantero|Reparar
153.jpg|Deformación-deformation|Guardabarros delantero izquierdo |Reemplazar
153.jpg|Abolladura-dent|Capó |Reparar
153.jpg|Rotura-crack|Faros izquierdo|Reemplazar
154.jpg|Deformación-deformation|Guardabarros delantero derecho |Reemplazar
154.jpg|Abolladura-dent|Puerta delantera izquierda|Reparar
154.jpg|Abolladura-dent|Marco de las puertas|Reparar
155.jpg|Abolladura-dent|Guardabarros trasero izquierdo|Reparar
156.jpg|Rotura-crack|Rueda |Reparar
157.jpg|Rotura-crack|Parabrisas delantero|Reemplazar
158.jpg|Rotura-crack|Faros derecho|Reemplazar
158.jpg|Desprendimiento-detachment|Parachoques delantero|Reparar
159.jpg|Rotura-crack|Rueda |Reparar
160.jpg|Arañazo-scratch|Parachoques delantero|Reparar
161.jpg|Abolladura-dent|Puerta trasera derecha|Reparar
161.jpg|Abolladura-dent|Guardabarros trasero derecho|Reparar
162.jpg|Abolladura-dent|Parachoques delantero|Reparar
163.jpg|Abolladura-dent|Puerta trasera derecha|Reparar
164.jpg|Abolladura-dent|Parachoques trasero|Reparar
165.jpg|Abolladura-dent|Parachoques delantero|Reparar
166.jpg|Arañazo-scratch|Guardabarros delantero derecho |Reparar
167.jpg|Rotura-crack|Ventana delantera izquierda|Reemplazar
168.jpg|Abolladura-dent|Parachoques trasero|Reparar
169.jpg|Abolladura-dent|Maletro|Reparar
170.jpg|Rotura-crack|Parabrisas delantero|Reemplazar
171.jpg|Rotura-crack|Ventana delantera izquierda|Reemplazar
172.jpg|Abolladura-dent|Parachoques trasero|Reparar
173.jpg|Rotura-crack|Parachoques delantero|Reemplazar
173.jpg|Rotura-crack|Faros izquierdo|Reemplazar
173.jpg|Deformación-deformation|Capó |Reemplazar
173.jpg|Rotura-crack|Rejilla, parrilla|Reemplazar
174.jpg|Rotura-crack|Rueda |Reparar
174.jpg|Abolladura-dent|Guardabarros delantero izquierdo |Reparar
174.jpg|Arañazo-scratch|Parachoques delantero|Reparar
175.jpg|Arañazo-scratch|Parachoques delantero|Reparar
176.jpg|Desprendimiento-detachment|Guardabarros delantero izquierdo |Reemplazar
176.jpg|Desprendimiento-detachment|Parachoques delantero|Reemplazar
176.jpg|Deformación-deformation|Capó |Reemplazar
176.jpg|Desprendimiento-detachment|Rejilla, parrilla|Reemplazar
177.jpg|Arañazo-scratch|Parachoques trasero|Reparar
178.jpg|Abolladura-dent|Puerta trasera izquierda|Reparar
178.jpg|Abolladura-dent|Marco de las puertas|Reparar
178.jpg|Abolladura-dent|Guardabarros trasero izquierdo|Reparar
178.jpg|Abolladura-dent|Parachoques trasero|Reparar
179.jpg|Arañazo-scratch|Parachoques delantero|Reparar
180.jpg|Rotura-crack|Faros izquierdo|Reemplazar
181.jpg|Rotura-crack|Parabrisas delantero|Reemplazar
182.jpg|Arañazo-scratch|Capó |Reparar
182.jpg|Desprendimiento-detachment|Parachoques delantero|Reemplazar
183.jpg|Abolladura-dent|Guardabarros delantero derecho |Reparar
184.jpg|Rotura-crack|Parabrisas delantero|Reemplazar
185.jpg|Arañazo-scratch|Parachoques delantero|Reparar
185.jpg|Abolladura-dent|Guardabarros delantero derecho |Reparar
186.jpg|Abolladura-dent|Parachoques trasero|Reparar
187.jpg|Fractura-shatter|Parachoques delantero|Reparar
188.jpg|Rotura-crack|Rueda |Reparar
189.jpg|Arañazo-scratch|Parachoques delantero|Reparar
190.jpg|Abolladura-dent|Guardabarros trasero izquierdo|Reparar
191.jpg|Abolladura-dent|Parachoques trasero|Reparar
192.jpg|Abolladura-dent|Parachoques trasero|Reparar
193.jpg|Arañazo-scratch|Parachoques delantero|Reparar
194.jpg|Abolladura-dent|Puerta delantera derecha|Reparar
195.jpg|Rotura-crack|Parabrisas delantero|Reemplazar
195.jpg|Abolladura-dent|Capó |Reparar
195.jpg|Deformación-deformation|Techo |Reparar
196.jpg|Fractura-shatter|Parachoques delantero|Reemplazar
196.jpg|Fractura-shatter|Rejilla, parrilla|Reemplazar
196.jpg|Deformación-deformation|Capó |Reparar
197.jpg|Rotura-crack|Parabrisas delantero|Reemplazar
198.jpg|Abolladura-dent|Guardabarros delantero derecho |Reparar
198.jpg|Abolladura-dent|Parachoques delantero|Reparar
199.jpg|Arañazo-scratch|Puerta delantera izquierda|Reparar
200.jpg|Arañazo-scratch|Parachoques trasero|Reparar
201.jpg|Arañazo-scratch|Parachoques delantero|Reparar
202.jpg|Rotura-crack|Luz trasera derecho|Reemplazar
203.jpg|Abolladura-dent|Maletro|Reparar
204.jpg|Arañazo-scratch|Maletro|Reparar
205.jpg|Deformación-deformation|Puerta delantera izquierda|Reemplazar
206.jpg|Rotura-crack|Parabrisas delantero|Reemplazar
207.jpg|Arañazo-scratch|Guardabarros delantero izquierdo |Reparar
208.jpg|Rotura-crack|Parabrisas delantero|Reemplazar
209.jpg|Arañazo-scratch|Parachoques trasero|Reparar
210.jpg|Arañazo-scratch|Guardabarros trasero izquierdo|Reparar
210.jpg|Arañazo-scratch|Parachoques trasero|Reparar
211.jpg|Abolladura-dent|Parachoques delantero|Reparar
211.jpg|Desprendimiento-detachment|Guardabarros delantero derecho |Reparar
212.jpg|Rotura-crack|Ventana trasera derecha|Reemplazar
213.jpg|Deformación-deformation|Puerta delantera izquierda|Reemplazar
214.jpg|Rotura-crack|Luz trasera izquierdo|Reemplazar
215.jpg|Abolladura-dent|Puerta delantera izquierda|Reparar
216.jpg|Abolladura-dent|Maletro|Reparar
217.jpg|Arañazo-scratch|Parachoques trasero|Reparar
218.jpg|Abolladura-dent|Guardabarros trasero izquierdo|Reparar
219.jpg|Deformación-deformation|Puerta delantera izquierda|Reemplazar
219.jpg|Deformación-deformation|Marco de las puertas|Reparar
219.jpg|Abolladura-dent|Puerta trasera izquierda|Reparar
220.jpg|Abolladura-dent|Parachoques trasero|Reparar
221.jpg|Rotura-crack|Rueda |Reemplazar
221.jpg|Desprendimiento-detachment|Guardabarros delantero izquierdo |Reemplazar
222.jpg|Abolladura-dent|Puerta delantera izquierda|Reparar
223.jpg|Arañazo-scratch|Puerta delantera derecha|Reparar
224.jpg|Rotura-crack|Parabrisas delantero|Reemplazar
225.jpg|Arañazo-scratch|Parachoques delantero|Reparar
226.jpg|Rotura-crack|Faros derecho|Reemplazar
227.jpg|Rotura-crack|Rueda |Reparar
228.jpg|Arañazo-scratch|Puerta delantera izquierda|Reparar
229.jpg|Rotura-crack|Rueda |Reparar
229.jpg|Desprendimiento-detachment|Parachoques delantero|Reparar
229.jpg|Abolladura-dent|Guardabarros delantero izquierdo |Reparar
230.jpg|Rotura-crack|Faros izquierdo|Reemplazar
231.jpg|Abolladura-dent|Parachoques delantero|Reparar
231.jpg|Abolladura-dent|Guardabarros delantero derecho |Reparar
232.jpg|Arañazo-scratch|Parachoques delantero|Reparar
233.jpg|Arañazo-scratch|Parachoques delantero|Reparar
234.jpg|Rotura-crack|Luz trasera izquierdo|Reemplazar
235.jpg|Abolladura-dent|Parachoques delantero|Reparar
236.jpg|Abolladura-dent|Guardabarros delantero derecho |Reparar
237.jpg|Rotura-crack|Rueda |Reparar
238.jpg|Arañazo-scratch|Guardabarros trasero derecho|Reparar
239.jpg|Abolladura-dent|Guardabarros delantero izquierdo |Reparar
239.jpg|Rotura-crack|Faros izquierdo|Reemplazar
240.jpg|Rotura-crack|Rueda |Reparar
240.jpg|Corrosión-corrosion|Guardabarros trasero izquierdo|Reparar
241.jpg|Abolladura-dent|Parachoques delantero|Reparar
241.jpg|Abolladura-dent|Capó |Reparar
241.jpg|Deformación-deformation|Guardabarros delantero derecho |Reemplazar
241.jpg|Rotura-crack|Faros derecho|Reemplazar
242.jpg|Abolladura-dent|Parachoques trasero|Reparar
242.jpg|Abolladura-dent|Guardabarros trasero derecho|Reparar
242.jpg|Abolladura-dent|Puerta trasera derecha|Reparar
242.jpg|Abolladura-dent|Marco de las puertas|Reparar
243.jpg|Rotura-crack|Ventana trasera derecha|Reemplazar
244.jpg|Abolladura-dent|Guardabarros delantero derecho |Reparar
245.jpg|Rotura-crack|Faros izquierdo|Reemplazar
245.jpg|Abolladura-dent|Parachoques delantero|Reparar
245.jpg|Abolladura-dent|Guardabarros delantero izquierdo |Reparar
245.jpg|Abolladura-dent|Capó |Reparar
245.jpg|Desprendimiento-detachment|Espejo lateral izquierdo|Reemplazar
246.jpg|Arañazo-scratch|Guardabarros delantero derecho |Reparar
247.jpg|Rotura-crack|Parabrisas delantero|Reemplazar
248.jpg|Arañazo-scratch|Parachoques delantero|Reparar
249.jpg|Arañazo-scratch|Parachoques delantero|Reparar
249.jpg|Arañazo-scratch|Guardabarros delantero izquierdo |Reparar
250.jpg|Abolladura-dent|Guardabarros delantero izquierdo |Reparar
250.jpg|Arañazo-scratch|Parachoques delantero|Reparar
251.jpg|Rotura-crack|Faros derecho|Reemplazar
251.jpg|Abolladura-dent|Parachoques delantero|Reparar
251.jpg|Abolladura-dent|Capó |Reparar
251.jpg|Abolladura-dent|Guardabarros delantero derecho |Reparar
252.jpg|Abolladura-dent|Puerta trasera izquierda|Reparar
253.jpg|Rotura-crack|Parachoques delantero|Reemplazar
254.jpg|Abolladura-dent|Guardabarros delantero izquierdo |Reparar
254.jpg|Abolladura-dent|Parachoques delantero|Reparar
255.jpg|Arañazo-scratch|Parachoques delantero|Reparar
256.jpg|Abolladura-dent|Guardabarros trasero izquierdo|Reparar
257.jpg|Arañazo-scratch|Parachoques delantero|Reparar
258.jpg|Abolladura-dent|Guardabarros trasero derecho|Reparar
258.jpg|Rotura-crack|Luz trasera derecho|Reemplazar
258.jpg|Desprendimiento-detachment|Parachoques trasero|Reparar
259.jpg|Rotura-crack|Rueda |Reparar
260.jpg|Rotura-crack|Parabrisas trasero|Reemplazar
261.jpg|Abolladura-dent|Puerta trasera izquierda|Reparar
262.jpg|Abolladura-dent|Guardabarros trasero derecho|Reparar
262.jpg|Abolladura-dent|Puerta trasera derecha|Reparar
263.jpg|Abolladura-dent|Puerta trasera derecha|Reparar
263.jpg|Abolladura-dent|Puerta delantera derecha|Reparar
263.jpg|Abolladura-dent|Marco de las puertas|Reparar
264.jpg|Abolladura-dent|Guardabarros delantero izquierdo |Reparar
265.jpg|Arañazo-scratch|Parachoques delantero|Reparar
266.jpg|Rotura-crack|Ventanilla trasera izquierda      |Reemplazar
267.jpg|Rotura-crack|Faros izquierdo|Reemplazar
267.jpg|Rotura-crack|Parachoques delantero|Reemplazar
268.jpg|Rotura-crack|Luz trasera derecho|Reemplazar
269.jpg|Abolladura-dent|Guardabarros trasero derecho|Reparar
269.jpg|Abolladura-dent|Puerta trasera derecha|Reparar
270.jpg|Rotura-crack|Parabrisas trasero|Reemplazar
271.jpg|Rotura-crack|Rueda |Reparar
272.jpg|Rotura-crack|Parabrisas delantero|Reemplazar
273.jpg|Rotura-crack|Ventana delantera derecha|Reemplazar
274.jpg|Rotura-crack|Rueda |Reemplazar
274.jpg|Rotura-crack|Guardabarros delantero derecho |Reemplazar
274.jpg|Rotura-crack|Parachoques delantero|Reparar
275.jpg|Rotura-crack|Luz trasera izquierdo|Reemplazar
276.jpg|Rotura-crack|Faros izquierdo|Reemplazar
276.jpg|Rotura-crack|Parachoques delantero|Reemplazar
276.jpg|Abolladura-dent|Guardabarros delantero izquierdo |Reparar
277.jpg|Arañazo-scratch|Parachoques delantero|Reparar
278.jpg|Rotura-crack|Parabrisas trasero|Reemplazar
279.jpg|Fractura-shatter|Parachoques delantero|Reparar
280.jpg|Arañazo-scratch|Parachoques trasero|Reparar
281.jpg|Abolladura-dent|Parachoques trasero|Reparar
281.jpg|Abolladura-dent|Guardabarros trasero derecho|Reparar
282.jpg|Rotura-crack|Rueda |Reparar
283.jpg|Abolladura-dent|Guardabarros trasero derecho|Reparar
283.jpg|Abolladura-dent|Parachoques trasero|Reparar
283.jpg|Rotura-crack|Luz trasera derecho|Reemplazar
284.jpg|Abolladura-dent|Guardabarros trasero izquierdo|Reparar
285.jpg|Abolladura-dent|Parachoques trasero|Reparar
286.jpg|Rotura-crack|Parabrisas delantero|Reemplazar
287.jpg|Rotura-crack|Rueda |Reemplazar
288.jpg|Fractura-shatter|Parachoques delantero|Reparar
288.jpg|Abolladura-dent|Guardabarros delantero izquierdo |Reparar
289.jpg|Arañazo-scratch|Parachoques delantero|Reparar
290.jpg|Arañazo-scratch|Parachoques delantero|Reparar
291.jpg|Arañazo-scratch|Parachoques delantero|Reparar
292.jpg|Arañazo-scratch|Parachoques delantero|Reparar
292.jpg|Abolladura-dent|Guardabarros delantero derecho |Reparar
293.jpg|Abolladura-dent|Parachoques delantero|Reparar
293.jpg|Abolladura-dent|Guardabarros delantero izquierdo |Reparar
294.jpg|Rotura-crack|Rueda |Reparar
295.jpg|Arañazo-scratch|Parachoques delantero|Reparar
296.jpg|Arañazo-scratch|Puerta delantera derecha|Reparar
297.jpg|Abolladura-dent|Guardabarros delantero derecho |Reparar
297.jpg|Abolladura-dent|Capó |Reparar
298.jpg|Arañazo-scratch|Parachoques delantero|Reparar
299.jpg|Arañazo-scratch|Parachoques trasero|Reparar
299.jpg|Rotura-crack|Luz trasera izquierdo|Reemplazar
300.jpg|Abolladura-dent|Puerta delantera izquierda|Reparar
301.jpg|Rotura-crack|Luz trasera derecho|Reemplazar
302.jpg|Rotura-crack|Parachoques delantero|Reemplazar
303.jpg|Rotura-crack|Parachoques trasero|Reparar
304.jpg|Arañazo-scratch|Parachoques delantero|Reparar
305.jpg|Arañazo-scratch|Parachoques delantero|Reparar
306.jpg|Rotura-crack|Luz trasera izquierdo|Reemplazar
307.jpg|Rotura-crack|Parabrisas delantero|Reemplazar
308.jpg|Fractura-shatter|Guardabarros trasero izquierdo|Reparar
309.jpg|Abolladura-dent|Maletro|Reparar
